file,sheet,cell,value,is_formula
Cisco Unit List Price_240426.xlsx,Cisco,A33,"=IFERROR(__xludf.DUMMYFUNCTION(""""""COMPUTED_VALUE""""""),""C9300L-48T-4X"")",True
Cisco Unit List Price_240426.xlsx,Cisco,B33,"=IFERROR(__xludf.DUMMYFUNCTION(""""""COMPUTED_VALUE""""""),22260.23)",True
Cisco Unit List Price_240426.xlsx,Cisco,D33,"=if(C33="""",B33,C33)",True
Cisco Unit List Price_240426.xlsx,Cisco,A34,"=IFERROR(__xludf.DUMMYFUNCTION(""""""COMPUTED_VALUE""""""),""C9300L-48P-4X"")",True
Cisco Unit List Price_240426.xlsx,Cisco,B34,"=IFERROR(__xludf.DUMMYFUNCTION(""""""COMPUTED_VALUE""""""),24901.12)",True
Cisco Unit List Price_240426.xlsx,Cisco,D34,"=if(C34="""",B34,C34)",True
Cisco Unit List Price_240426.xlsx,Cisco,A35,"=IFERROR(__xludf.DUMMYFUNCTION(""""""COMPUTED_VALUE""""""),""C9300-24T"")",True
Cisco Unit List Price_240426.xlsx,Cisco,B35,"=IFERROR(__xludf.DUMMYFUNCTION(""""""COMPUTED_VALUE""""""),17547.66)",True
Cisco Unit List Price_240426.xlsx,Cisco,D35,"=if(C35="""",B35,C35)",True
Cisco Unit List Price_240426.xlsx,Cisco,A36,"=IFERROR(__xludf.DUMMYFUNCTION(""""""COMPUTED_VALUE""""""),""C9300-24P"")",True
Cisco Unit List Price_240426.xlsx,Cisco,B36,"=IFERROR(__xludf.DUMMYFUNCTION(""""""COMPUTED_VALUE""""""),19038.33)",True
Cisco Unit List Price_240426.xlsx,Cisco,D36,"=if(C36="""",B36,C36)",True
Cisco Unit List Price_240426.xlsx,Cisco,A37,"=IFERROR(__xludf.DUMMYFUNCTION(""""""COMPUTED_VALUE""""""),""C9300-24U"")",True
Cisco Unit List Price_240426.xlsx,Cisco,B37,"=IFERROR(__xludf.DUMMYFUNCTION(""""""COMPUTED_VALUE""""""),19965.21)",True
Cisco Unit List Price_240426.xlsx,Cisco,D37,"=if(C37="""",B37,C37)",True
Cisco Unit List Price_240426.xlsx,Cisco,A38,"=IFERROR(__xludf.DUMMYFUNCTION(""""""COMPUTED_VALUE""""""),""C9300-24H"")",True
Cisco Unit List Price_240426.xlsx,Cisco,B38,"=IFERROR(__xludf.DUMMYFUNCTION(""""""COMPUTED_VALUE""""""),20515.29)",True
Cisco Unit List Price_240426.xlsx,Cisco,D38,"=if(C38="""",B38,C38)",True
Cisco Unit List Price_240426.xlsx,Cisco,A39,"=IFERROR(__xludf.DUMMYFUNCTION(""""""COMPUTED_VALUE""""""),""C9300-24S"")",True
Cisco Unit List Price_240426.xlsx,Cisco,B39,"=IFERROR(__xludf.DUMMYFUNCTION(""""""COMPUTED_VALUE""""""),48735.58)",True
Cisco Unit List Price_240426.xlsx,Cisco,D39,"=if(C39="""",B39,C39)",True
Cisco Unit List Price_240426.xlsx,Cisco,A40,"=IFERROR(__xludf.DUMMYFUNCTION(""""""COMPUTED_VALUE""""""),""C9300-24UB"")",True
Cisco Unit List Price_240426.xlsx,Cisco,B40,"=IFERROR(__xludf.DUMMYFUNCTION(""""""COMPUTED_VALUE""""""),24477.78)",True
Cisco Unit List Price_240426.xlsx,Cisco,D40,"=if(C40="""",B40,C40)",True
Cisco Unit List Price_240426.xlsx,Cisco,A41,"=IFERROR(__xludf.DUMMYFUNCTION(""""""COMPUTED_VALUE""""""),""C9300-48T"")",True
Cisco Unit List Price_240426.xlsx,Cisco,B41,"=IFERROR(__xludf.DUMMYFUNCTION(""""""COMPUTED_VALUE""""""),25854.11)",True
Cisco Unit List Price_240426.xlsx,Cisco,D41,"=if(C41="""",B41,C41)",True
Cisco Unit List Price_240426.xlsx,Cisco,A42,"=IFERROR(__xludf.DUMMYFUNCTION(""""""COMPUTED_VALUE""""""),""C9300-48P"")",True
Cisco Unit List Price_240426.xlsx,Cisco,B42,"=IFERROR(__xludf.DUMMYFUNCTION(""""""COMPUTED_VALUE""""""),28776.34)",True
Cisco Unit List Price_240426.xlsx,Cisco,D42,"=if(C42="""",B42,C42)",True
Cisco Unit List Price_240426.xlsx,Cisco,A43,"=IFERROR(__xludf.DUMMYFUNCTION(""""""COMPUTED_VALUE""""""),""C9300-48U"")",True
Cisco Unit List Price_240426.xlsx,Cisco,B43,"=IFERROR(__xludf.DUMMYFUNCTION(""""""COMPUTED_VALUE""""""),30632.82)",True
Cisco Unit List Price_240426.xlsx,Cisco,D43,"=if(C43="""",B43,C43)",True
Cisco Unit List Price_240426.xlsx,Cisco,A44,"=IFERROR(__xludf.DUMMYFUNCTION(""""""COMPUTED_VALUE""""""),""C9300-48H"")",True
Cisco Unit List Price_240426.xlsx,Cisco,B44,"=IFERROR(__xludf.DUMMYFUNCTION(""""""COMPUTED_VALUE""""""),31600.93)",True
Cisco Unit List Price_240426.xlsx,Cisco,D44,"=if(C44="""",B44,C44)",True
Cisco Unit List Price_240426.xlsx,Cisco,A45,"=IFERROR(__xludf.DUMMYFUNCTION(""""""COMPUTED_VALUE""""""),""C9300-48S"")",True
Cisco Unit List Price_240426.xlsx,Cisco,B45,"=IFERROR(__xludf.DUMMYFUNCTION(""""""COMPUTED_VALUE""""""),55867.65)",True
Cisco Unit List Price_240426.xlsx,Cisco,D45,"=if(C45="""",B45,C45)",True
Cisco Unit List Price_240426.xlsx,Cisco,A46,"=IFERROR(__xludf.DUMMYFUNCTION(""""""COMPUTED_VALUE""""""),""C9300-48UB"")",True
Cisco Unit List Price_240426.xlsx,Cisco,B46,"=IFERROR(__xludf.DUMMYFUNCTION(""""""COMPUTED_VALUE""""""),36714.46)",True
Cisco Unit List Price_240426.xlsx,Cisco,D46,"=if(C46="""",B46,C46)",True
Cisco Unit List Price_240426.xlsx,Cisco,A47,"=IFERROR(__xludf.DUMMYFUNCTION(""""""COMPUTED_VALUE""""""),""C1300-8T-E-2G"")",True
Cisco Unit List Price_240426.xlsx,Cisco,B47,"=IFERROR(__xludf.DUMMYFUNCTION(""""""COMPUTED_VALUE""""""),466.11)",True
Cisco Unit List Price_240426.xlsx,Cisco,D47,"=if(C47="""",B47,C47)",True
Cisco Unit List Price_240426.xlsx,Cisco,A48,"=IFERROR(__xludf.DUMMYFUNCTION(""""""COMPUTED_VALUE""""""),""C1300-8P-E-2G"")",True
Cisco Unit List Price_240426.xlsx,Cisco,B48,"=IFERROR(__xludf.DUMMYFUNCTION(""""""COMPUTED_VALUE""""""),576.42)",True
Cisco Unit List Price_240426.xlsx,Cisco,D48,"=if(C48="""",B48,C48)",True
Cisco Unit List Price_240426.xlsx,Cisco,A49,"=IFERROR(__xludf.DUMMYFUNCTION(""""""COMPUTED_VALUE""""""),""C1300-8FP-2G"")",True
Cisco Unit List Price_240426.xlsx,Cisco,B49,"=IFERROR(__xludf.DUMMYFUNCTION(""""""COMPUTED_VALUE""""""),765.31)",True
Cisco Unit List Price_240426.xlsx,Cisco,D49,"=if(C49="""",B49,C49)",True
Cisco Unit List Price_240426.xlsx,Cisco,A50,"=IFERROR(__xludf.DUMMYFUNCTION(""""""COMPUTED_VALUE""""""),""C1300-16T-2G"")",True
Cisco Unit List Price_240426.xlsx,Cisco,B50,"=IFERROR(__xludf.DUMMYFUNCTION(""""""COMPUTED_VALUE""""""),663.67)",True
Cisco Unit List Price_240426.xlsx,Cisco,D50,"=if(C50="""",B50,C50)",True
Cisco Unit List Price_240426.xlsx,Cisco,A51,"=IFERROR(__xludf.DUMMYFUNCTION(""""""COMPUTED_VALUE""""""),""C1300-16P-2G"")",True
Cisco Unit List Price_240426.xlsx,Cisco,B51,"=IFERROR(__xludf.DUMMYFUNCTION(""""""COMPUTED_VALUE""""""),962.86)",True
Cisco Unit List Price_240426.xlsx,Cisco,D51,"=if(C51="""",B51,C51)",True
Cisco Unit List Price_240426.xlsx,Cisco,A52,"=IFERROR(__xludf.DUMMYFUNCTION(""""""COMPUTED_VALUE""""""),""C1300-16FP-2G"")",True
Cisco Unit List Price_240426.xlsx,Cisco,B52,"=IFERROR(__xludf.DUMMYFUNCTION(""""""COMPUTED_VALUE""""""),1364.85)",True
Cisco Unit List Price_240426.xlsx,Cisco,D52,"=if(C52="""",B52,C52)",True
Cisco Unit List Price_240426.xlsx,Cisco,A53,"=IFERROR(__xludf.DUMMYFUNCTION(""""""COMPUTED_VALUE""""""),""C1300-24T-4G"")",True
Cisco Unit List Price_240426.xlsx,Cisco,B53,"=IFERROR(__xludf.DUMMYFUNCTION(""""""COMPUTED_VALUE""""""),925.31)",True
Cisco Unit List Price_240426.xlsx,Cisco,D53,"=if(C53="""",B53,C53)",True
Cisco Unit List Price_240426.xlsx,Cisco,A54,"=IFERROR(__xludf.DUMMYFUNCTION(""""""COMPUTED_VALUE""""""),""C1300-24P-4G"")",True
Cisco Unit List Price_240426.xlsx,Cisco,B54,"=IFERROR(__xludf.DUMMYFUNCTION(""""""COMPUTED_VALUE""""""),1316.32)",True
Cisco Unit List Price_240426.xlsx,Cisco,D54,"=if(C54="""",B54,C54)",True
Cisco Unit List Price_240426.xlsx,Cisco,A55,"=IFERROR(__xludf.DUMMYFUNCTION(""""""COMPUTED_VALUE""""""),""C1300-24FP-4G"")",True
Cisco Unit List Price_240426.xlsx,Cisco,B55,"=IFERROR(__xludf.DUMMYFUNCTION(""""""COMPUTED_VALUE""""""),1785.82)",True
Cisco Unit List Price_240426.xlsx,Cisco,D55,"=if(C55="""",B55,C55)",True
Cisco Unit List Price_240426.xlsx,Cisco,A56,"=IFERROR(__xludf.DUMMYFUNCTION(""""""COMPUTED_VALUE""""""),""C1300-48T-4G"")",True
Cisco Unit List Price_240426.xlsx,Cisco,B56,"=IFERROR(__xludf.DUMMYFUNCTION(""""""COMPUTED_VALUE""""""),1446.81)",True
Cisco Unit List Price_240426.xlsx,Cisco,D56,"=if(C56="""",B56,C56)",True
